,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
142,0.522,0.574,9,0.0317,0.224,0.0,0.108,0.176,84.044,-5.225,0,261543,4,BTS,2020-02-01,We are Bulletproof : the Eternal,we-are-bulletproof-the-eternal
143,0.808,0.903,0,0.0957,0.0121,0.000248,0.0993,0.473,116.988,-3.106,1,196199,4,BTS,2020-02-01,Outro : Ego,ego
144,0.591,0.848,9,0.0828,0.137,0.0,0.372,0.385,105.924,-4.396,0,246816,4,BTS,2020-02-01,ON (feat. Sia),on
145,0.469,0.87,9,0.342,0.0278,0.0,0.313,0.652,86.622,-4.475,0,171023,4,BTS,2019-04-12,Intro : Persona,intro-persona
146,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,-4.757,0,229773,4,BTS,2019-04-12,Boy With Luv (feat. Halsey),boy-with
147,0.58,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.039,-5.212,1,224225,3,BTS,2019-04-12,Mikrokosmos,
148,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,-7.874,1,226321,4,BTS,2019-04-12,Make It Right,make-it-right
149,0.633,0.799,7,0.0429,0.0142,0.0,0.194,0.535,142.991,-4.625,0,234178,4,BTS,2019-04-12,HOME,home
150,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2019-04-12,Jamais Vu,
151,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2019-04-12,Dionysus,dionysus
152,0.486,0.871,9,0.337,0.0278,0.0,0.313,0.659,85.411,-4.475,0,171023,4,BTS,2019-04-12,Intro : Persona,intro-persona
153,0.645,0.862,11,0.0845,0.0933,0.0,0.193,0.803,119.947,-4.761,0,229773,4,BTS,2019-04-12,Boy With Luv (feat. Halsey),boy-with
154,0.579,0.858,8,0.114,0.125,0.0,0.0502,0.475,174.043,-5.212,1,224225,3,BTS,2019-04-12,Mikrokosmos,
155,0.639,0.706,7,0.448,0.0104,0.0,0.132,0.259,105.782,-7.874,1,226321,4,BTS,2019-04-12,Make It Right,make-it-right
156,0.633,0.799,7,0.0427,0.0144,0.0,0.194,0.534,142.991,-4.625,0,234178,4,BTS,2019-04-12,HOME,home
157,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2019-04-12,Jamais Vu,
